timestamp,fraud_prediction,fraud_probability,risk_level
2026-07-28 23:48:25.254067,0,0.009508140752346855,Low Risk
2026-07-28 23:48:26.449009,0,0.04865129912433006,Low Risk
2026-07-28 23:48:27.658591,0,0.13510718766341287,Low Risk
2026-07-28 23:48:28.878751,1,0.624430706983413,Medium Risk
2026-07-28 23:48:30.046518,0,0.36151636282558086,Low Risk
2026-07-28 23:48:31.257463,0,0.2773793149952993,Low Risk
2026-07-28 23:48:32.411636,0,0.007750196420588841,Low Risk
2026-07-28 23:48:33.525390,0,0.033561755003302045,Low Risk
2026-07-28 23:48:34.759357,0,0.026013816023931824,Low Risk
2026-07-28 23:48:35.891671,0,0.060439162901638054,Low Risk
